order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FMR34203601,2025/03/01,789203,25891601,110,3/4/2025,3/4/2025,110,1,1,1
FMR32320302,2025/03/01,789320,25891203,347,3/2/2025,3/2/2025,347,1,1,1
FMR33320501,2025/03/01,789320,25891203,187,3/3/2025,3/3/2025,150,0,1,0
FMR34220601,2025/03/01,789220,25891203,235,3/4/2025,3/4/2025,235,1,1,1
FMR33703603,2025/03/01,789703,25891203,176,3/3/2025,3/3/2025,176,1,1,1
FMR33721603,2025/03/01,789721,25891203,345,3/3/2025,3/3/2025,345,1,1,1
FMR33420203,2025/03/01,789420,25891203,138,3/3/2025,3/6/2025,138,1,0,0
FMR34420402,2025/03/01,789420,25891203,381,3/4/2025,3/5/2025,381,1,0,0
FMR32403401,2025/03/01,789403,25891203,348,3/2/2025,3/2/2025,348,1,1,1
FMR34121203,2025/03/01,789121,25891203,480,3/4/2025,3/6/2025,480,1,0,0
FMR32501601,2025/03/01,789501,25891203,478,3/2/2025,3/2/2025,478,1,1,1
FMR34501203,2025/03/01,789501,25891203,491,3/4/2025,3/4/2025,491,1,1,1
FMR34102602,2025/03/01,789102,25891203,407,3/4/2025,3/4/2025,387,0,1,0
FMR33902203,2025/03/01,789902,25891203,299,3/3/2025,3/3/2025,299,1,1,1
FMR34903603,2025/03/01,789903,25891203,329,3/4/2025,3/4/2025,329,1,1,1
FMR32421203,2025/03/01,789421,25891203,441,3/2/2025,3/3/2025,419,0,0,0
FMR33421203,2025/03/01,789421,25891203,104,3/3/2025,3/6/2025,99,0,0,0
FMR33402203,2025/03/01,789402,25891203,491,3/3/2025,3/5/2025,491,1,0,0
FMR33621603,2025/03/01,789621,25891203,138,3/3/2025,3/3/2025,138,1,1,1
FMR34520301,2025/03/01,789520,25891203,172,3/4/2025,3/4/2025,155,0,1,0
FMR33702302,2025/03/01,789702,25891302,38,3/3/2025,3/3/2025,30,0,1,0
FMR32320302,2025/03/01,789320,25891302,54,3/2/2025,3/2/2025,54,1,1,1
FMR34603302,2025/03/01,789603,25891302,37,3/4/2025,3/4/2025,37,1,1,1
FMR34721502,2025/03/01,789721,25891302,63,3/4/2025,3/5/2025,60,0,0,0
FMR33621302,2025/03/01,789621,25891302,56,3/3/2025,3/4/2025,56,1,0,0
FMR32520302,2025/03/01,789520,25891302,54,3/2/2025,3/3/2025,49,0,0,0
FMR33520601,2025/03/01,789520,25891302,42,3/3/2025,3/5/2025,34,0,0,0
FMR34520302,2025/03/01,789520,25891302,23,3/4/2025,3/5/2025,22,0,0,0
FMR32420602,2025/03/01,789420,25891302,49,3/2/2025,3/4/2025,49,1,0,0
FMR32902402,2025/03/01,789902,25891302,70,3/2/2025,3/2/2025,70,1,1,1
